Unnamed: 0,Critical Security Controls,Master Mappings Tool (v7.0c),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Security Control,NIST 800-53 rev4,NIST CSF v1.0,NIST CSF v1.1,NIST 800-82 rev2,NIST SMB Guide,DHS CDM Program,ISO 27002:2013,ISO 27002:2005,IEC 62443-3-3:2013,NIST 800-171,NSA MNP,Australian Essential Eight,Australian Top 35,NSA Top 10,Canadian CSE Top 10,GCHQ 10 Steps,UK Cyber Essentials,UK ICO Protecting Data,PCI DSS 3.2,PCI DSS 3.1,PCI DSS 3.0,HIPAA,FFIEC Information Security Booklet (2016),FFIEC Examiners Handbook,FFIEC Cybersecurity Assessment Tool (CAT),COBIT 5,AICPA SOC 2 & SOC3 TSPC,AICPA's GAPP,IRS Pub1075,SWIFT,SG MAS TRM,Saudi AMA,NERC CIP v7,NERC CIP v6,NERC CIP v5,NERC CIP v4,NERC CIP v3,Cloud Security Alliance,SEC OCIE for AWS,FY15 FISMA Metrics,ITIL 2011 KPIs,NV Gaming MICS v7 2015,MA - CoM 201 CMR 17.00,NY - NYCRR 500,Victorian PDSF v1.0,ANSSI - 40 Measures
Critical Security Control #1: Inventory of Authorized and Unauthorized Devices,"CA-7: Continuous Monitoring
CM-8: Information System Component Inventory
IA-3: Device Identification and Authentication
SA-4: Acquisition Process
SC-17: Public Key Infrastructure Certificates
SI-4: Information System Monitoring
PM-5: Information System Inventory","ID.AM-1
ID.AM-3
ID.AM-4
PR.DS-3","ID.AM-1
ID.AM-3
ID.AM-4
PR.DS-3","6.2.16
6.2.17",4.0d,HWAM: Hardware Asset Management,"A.8.1.1
A.9.1.2
A.13.1.1","A.7.1.1
A.10.6.1 - A.10.6.2
A.11.4.6","SR 1.2
SR 2.3
SR 7.8",,"Map Your Network
Baseline Management
Document Your Network
Personal Electronic Device Management
Network Access Control
Log Management",,,,,,,Inappropriate locations for processing data,2.4,2.4,2.4,"164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",II.C.5,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services
BAI09: Manage Assets",,"7.2.2
8.2.1
8.2.2",9.4.12,,6 - Acquisition and Development of Information Systems,3.3.3,"CIP-002-5.1 R1
CIP-002-5.1 R2","CIP-002-5.1 R1
CIP-002-5.1 R2","CIP-002-5.1 R1
CIP-002-5.1 R2","CIP-002-4 R1
CIP-002-4 R2
CIP-002-4 R3
CIP-003-4 R5
CIP-004-4 R4
CIP-005-4 R2
CIP-006-4 R3","CIP-002-3 R1
CIP-002-3 R2
CIP-002-3 R3
CIP-002-3 R4
CIP-003-3 R5
CIP-004-3 R4
CIP-005-3 R2
CIP-006-3 R3","DCS-01
MOS-09
MOS-15",,"1: System Inventory
2: Continuous Monitoring",Information Security Management,,,,,"1
34"
Critical Security Control #2: Inventory of Authorized and Unauthorized Software,"CA-7: Continuous Monitoring
CM-2: Baseline Configuration
CM-8: Information System Component Inventory
CM-10: Software Usage Restrictions
CM-11: User-Installed Software
SA-4: Acquisition Process
SC-18: Mobile Code
SC-34: Non-Modifiable Executable Programs
SI-4: Information System Monitoring
PM-5: Information System Inventory","ID.AM-2
PR.DS-6","ID.AM-2
PR.DS-6","6.2.16
6.2.17",,"HWAM: Hardware Asset Management
SWAM: Software Asset Management","A.12.5.1
A.12.6.2",,SR 1.2,"3.4.8
3.4.9","Baseline Management
Executable Content Restrictions
Configuration and Change Management",1,"1
14
17",Application Whitelisting,"8
10",,,Decommissioning of software or services,2.4,2.4,2.4,"164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1",9.4.12,1.1-opt,6 - Acquisition and Development of Information Systems,3.3.3,CIP-010-3 R1,CIP-010-2 R1,CIP-010-1 R1,,,"CCC-04
MOS-3
MOS-04
MOS-15",,"1: System Inventory
2: Continuous Monitoring",Information Security Management,,VI-02,,,"16
17
18
20
23"
Critical Security Control #3: Continuous Vulnerability Assessment and Remediation,"CA-2: Security Assessments
CA-7: Continuous Monitoring
RA-5: Vulnerability Scanning
SC-34: Non-Modifiable Executable Programs
SI-4: Information System Monitoring
SI-7: Software, Firmware, and Information Integrity","ID.RA-1
ID.RA-2
PR.IP-12
DE.CM-8
RS.MI-3","ID.RA-1
ID.RA-2
PR.IP-12
DE.CM-8
RS.AN-5
RS.MI-3","6.2.16
6.2.17",3.2c,VUL: Vulnerability Management,"A.12.6.1
A.14.2.8","A.12.6.1
A.13.1.2
A.15.2.2",,"3.11.2
3.11.3
3.12.2
3.14.1","Patch Management
Log Management
Configuration and Change Management","2
6",2-3,Take Advantage of Software Improvements,"2
8",,Patch Management,Software Updates,"6.1
6.2
11.2","6.1
6.2
11.2","6.1
6.2
11.2","164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",CC 6.1,"7.2.2
8.2.1",9.3.4,"2.2
2.7a",9 - Operational Infrastructure Security Management,3.3.17,"CIP-007-6 R2
CIP-010-3 R3","CIP-007-6 R2
CIP-010-2 R3","CIP-007-5 R2
CIP-010-1 R3","CIP-005-4 R4
CIP-007-4 R3
CIP-007-4 R8","CIP-005-3 R4
CIP-007-3 R3
CIP-007-3 R8","IVS-05
MOS-15
MOS-19
TVM-02",,2: Continuous Monitoring,Information Security Management,,VI-01,Section 500.05,,"2
8-13
28-30"
Critical Security Control #4: Controlled Use of Administrative Privileges,"AC-2: Account Management
AC-6: Least Privilege
AC-17: Remote Access
AC-19: Access Control for Mobile Devices
CA-7: Continuous Monitoring
IA-2: Identification and Authentication (Organizational Users)
IA-4: Identifier Management
IA-5: Authenticator Management
SI-4: Information System Monitoring","PR.AC-4
PR.AT-2
PR.MA-2
PR.PT-3","PR.AC-4
PR.AT-2
PR.MA-2
PR.PT-3","5.15
6.2.7
6.2.16
6.2.17",,,"A.9.1.1
A.9.2.2 - A.9.2.6
A.9.3.1
A.9.4.1 - A.9.4.4",A.11.5.1 - A.11.5.3,,"3.1.5 - 3.1.7
3.4.5 - 3.4.6
3.7.1 - 3.7.2
3.7.5 - 3.7.6
3.13.3","User Access
Baseline Management
Log Management","5
7","4
9
11
25",Control Administrative Privileges,"3
8",Monitoring,Access Control,"Configuration of SSL and TLS
Default Credentials","2.1
7.1 - 7.3
8.1 - 8.3
8.7","2.1
7.1 - 7.3
8.1 - 8.3
8.7","2.1
7.1 - 7.3
8.1 - 8.3
8.7","164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",,Authentication and Access Controls,"Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",CC 5.1 - CC 5.6,"7.2.2
8.2.1
8.2.2",9.3.7,"1.2
2.6a",11 - Access Controls,3.3.5,"CIP-004-6 R4
CIP-004-6 R5
CIP-007-6 R5","CIP-004-6 R4
CIP-004-6 R5
CIP-007-6 R5","CIP-004-5 R4
CIP-004-5 R5
CIP-007-5 R5","CIP-003-4 R5
CIP-004-4 R4
CIP-005-4 R2
CIP-005-4 R3
CIP-006-4 R3
CIP-007-4 R3","CIP-003-3 R5
CIP-004-3 R4
CIP-005-3 R2
CIP-005-3 R3
CIP-006-3 R3
CIP-007-3 R3","IAM-09 - IAM-13
MOS-16
MOS-20",,3: Identity Credential and Access Management,Information Security Management,,,Section 500.12,Standard 4,"26
27"
Critical Security Control #5: Secure Configurations for Hardware and Software,"CA-7: Continuous Monitoring
CM-2: Baseline Configuration
CM-3: Configuration Change Control
CM-5: Access Restrictions for Change
CM-6: Configuration Settings
CM-7: Least Functionality
CM-8: Information System Component Inventory
CM-9: Configuration Management Plan
CM-11: User-Installed Software
MA-4: Nonlocal Maintenance
RA-5: Vulnerability Scanning
SA-4: Acquisition Process
SC-15: Collaborative Computing Devices
SC-34: Non-Modifiable Executable Programs
SI-2: Flaw Remediation
SI-4: Information System Monitoring",PR.IP-1,PR.IP-1,"6.2.16
6.2.17",,CSM: Configuration Settings Management,"A.14.2.4
A.14.2.8
A.18.2.3",A.15.2.2,,3.4.1 - 3.4.3,"Patch Management
Baseline Management
Data-at-Rest Protection
Configuration and Change Management","3
4","2-5
21","Set a Secure Baseline Configuration
Take Advantage of Software Improvements","4
8",Secure Configuration,"Secure Configuration
Patch Management",,"2.2
2.3
6.2
11.5","2.2
2.3
6.2
11.5","2.2
2.3
6.2
11.5","164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services
BAI10: Manage Configuration",,"7.2.2
8.2.1",9.3.5,2.3,9 - Operational Infrastructure Security Management,3.3.6,"CIP-007-6 R2
CIP-010-3 R2","CIP-007-6 R2
CIP-010-2 R2","CIP-007-5 R2
CIP-010-1 R2","CIP-003-4 R6
CIP-007-4 R3","CIP-003-3 R6
CIP-007-3 R3","IVS-07
MOS-15
MOS-19
TVM-02",Asset Configuration and Management,2: Continuous Monitoring,Information Security Management,,,,,"6
16
17"
"Critical Security Control #6: Maintenance, Monitoring, and Analysis of Audit Logs","AC-23: Data Mining Protection
AU-2: Audit Events
AU-3: Content of Audit Records
AU-4: Audit Storage Capacity
AU-5: Response to Audit Processing Failures
AU-6: Audit Review, Analysis, and Reporting
AU-7: Audit Reduction and Report Generation
AU-8: Time Stamps
AU-9: Protection of Audit Information
AU-10: Non-repudiation
AU-11: Audit Record Retention
AU-12: Audit Generation
AU-13: Monitoring for Information Disclosure
AU-14: Session Audit
CA-7: Continuous Monitoring
IA-10: Adaptive Identification and Authentication
SI-4: Information System Monitoring","PR.PT-1
DE.AE-3
DE.DP-1
DE.DP-2
DE.DP-3
DE.DP-4
DE.DP-5","PR.PT-1
DE.AE-3
DE.DP-1
DE.DP-2
DE.DP-3
DE.DP-4
DE.DP-5","5.16
6.2.16
6.2.17",3.3b,Generic Audit Monitoring,"A.12.4.1 - A.12.4.4
A.12.7.1",A.10.10.1 - A.10.10.6,"SR 1.12
SR 2.8 - 2.11
SR 3.9
SR 6.1 - 6.2","3.3.1 - 3.3.9
3.14.7",Log Management,,"15-16
35",,8,Monitoring,,,10.1 - 10.9,10.1 - 10.8,10.1 - 10.7,"164.308(a)(1): Security Management Process - Information System Activity Review R
164.308(a)(5):  Security Awareness and Training - Log-in Monitoring A",II.C.22,Security Monitoring,"Domain 2: Threat Intelligence & Collaboration - Monitoring and Analyzing
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1",9.3.3,6.4,9 - Operational Infrastructure Security Management,3.3.14,CIP-007-6 R4,CIP-007-6 R4,CIP-007-5 R4,"CIP-005-4 R3
CIP-007-4 R6","CIP-005-3 R3
CIP-007-3 R6","IVS-01
IVS-03",Security Logging and Monitoring,,Information Security Management,System Parameters,VI-04,Section 500.06,,
Critical Security Control #7: Email and Web Browser Protections,"CA-7: Continuous Monitoring
CM-2: Baseline Configuration
CM-3: Configuration Change Control
CM-5: Access Restrictions for Change
CM-6: Configuration Settings
CM-7: Least Functionality
CM-8: Information System Component Inventory
CM-9: Configuration Management Plan
CM-11: User-Installed Software
MA-4: Nonlocal Maintenance
RA-5: Vulnerability Scanning
SA-4: Acquisition Process
SC-15: Collaborative Computing Devices
SC-34: Non-Modifiable Executable Programs
SI-2: Flaw Remediation
SI-4: Information System Monitoring",PR.IP-1,PR.IP-1,"6.2.16
6.2.17","3.2f
4.0b
4.0c
4.0e
4.0g
4.0i",CSM: Configuration Settings Management,"A.14.2.4
A.14.2.8
A.18.2.3",A.15.2.2,,,"Patch Management
Baseline Management
Data-at-Rest Protection
Configuration and Change Management",,"2
5
17-20
31","Set a Secure Baseline Configuration
Take Advantage of Software Improvements",8,Secure Configuration,"Secure Configuration
Patch Management",,"2.2
2.3
6.2
11.5","2.2
2.3
6.2
11.5","2.2
2.3
6.2
11.5","164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services
BAI10: Manage Configuration",,"7.2.2
8.2.1","9.3.17
9.4.3
9.4.16
9.4.17",,,"3.3.6
3.3.8","CIP-007-6 R2
CIP-010-3 R2","CIP-007-6 R2
CIP-010-2 R2","CIP-007-5 R2
CIP-010-1 R2","CIP-003-4 R6
CIP-007-4 R3","CIP-003-3 R6
CIP-007-3 R3","IVS-07
MOS-15
MOS-19
TVM-02",,2: Continuous Monitoring,Information Security Management,,,,,
Critical Security Control #8: Malware Defenses,"CA-7: Continuous Monitoring
SC-39: Process Isolation
SC-44: Detonation Chambers
SI-3: Malicious Code Protection
SI-4: Information System Monitoring
SI-8: Spam Protection","PR.PT-2
DE.CM-4
DE.CM-5","PR.PT-2
DE.CM-4
DE.CM-5","6.2.16
6.2.17",3.3a,,"A.8.3.1
A.12.2.1
A.13.2.3","A.10.4.1 - A.10.4.2
A.10.7.1",SR 3.2,"3.7.4
3.14.2 - 3.14.6","Device Accessibility
Virus Scanners and Host Intrusion Prevention Systems
Security Gateways, Proxies, and Firewalls
Network Security Monitoring
Log Management",,"7
17
22
26
30","Use Anti-Virus File Reputation Services
Enable Anti-Exploitation Features",8,"Removable Media Controls
Malware Protection",Malware Protection,,5.1 - 5.4,5.1 - 5.4,5.1 - 5.4,"164.308(a)(5): Security Awareness and Training - Protection from Malicious Software A
164.310(d)(1): Device and Media Controls - Accountability A
164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",II.C.12,"Host Security
User Equipment Security (Workstation, Laptop, Handheld)","Domain 2: Threat Intelligence & Collaboration - Monitoring and Analyzing
Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",CC 5.8,"7.2.2
8.2.1",9.3.17,6.1,9 - Operational Infrastructure Security Management,"3.3.8
3.3.16",CIP-007-6 R3,CIP-007-6 R3,CIP-007-5 R3,CIP-007-4 R4,CIP-007-3 R4,"MOS-01
MOS-15
TVM-01
TVM-03",,4: Anti Phishing and Malware Defense,Information Security Management,,VI-02,,,
Critical Security Control #9: Limitation and Control of Network Ports,"AC-4: Information Flow Enforcement
CA-7: Continuous Monitoring
CA-9: Internal System Connections
CM-2: Baseline Configuration
CM-6: Configuration Settings
CM-8: Information System Component Inventory
SC-20: Secure Name /Address Resolution Service (Authoritative Source)
SC-21: Secure Name /Address Resolution Service (Recursive or Caching Resolver)
SC-22: Architecture and Provisioning for Name/Address Resolution Service
SC-41: Port and I/O Device Access
SI-4: Information System Monitoring","PR.AC-5
DE.AE-1","PR.AC-5
DE.AE-1","6.2.16
6.2.17",,Boundary Protection,"A.9.1.2
A.13.1.1
A.13.1.2
A.14.1.2","A.10.6.1 - A.10.6.2
A.11.4.4",,3.4.7,"Baseline Management
Configuration and Change Management",,"2
3
12
13
27",Limit Workstation-to-Workstation Communication,8,Network Security,,"Decommissioning of software or services
Unnecessary Services",1.4,1.4,1.4,"164.310(b): Workstation Use - R
164.310(c): Workstation Security - R",II.C.9,Network Security,"Domain 3: Cybersecurity Controls - Preventative Controls
Domain 3: Cybersecurity Controls - Detective Controls","APO13: Manage Security
DSS05: Manage Security Services",,"7.2.2
8.2.1",,,,,"CIP-007-6 R1
CIP-010-3 R2","CIP-007-6 R1
CIP-010-2 R2","CIP-007-5 R1
CIP-010-1 R2",CIP-007-4 R2,CIP-007-3 R2,"DSI-02
IVS-06
IPY-04",,,Information Security Management,Network Security and Data Protection,,,,
Critical Security Control #10: Data Recovery Capabilities,"CP-9: Information System Backup
CP-10: Information System Recovery and Reconstitution
MP-4: Media Storage",PR.IP-4,PR.IP-4,"6.2.16
6.2.17","3.5a
3.5b",,"A.10.1.1
A.12.3.1","A.10.5.1
A.10.8.3",SR 7.3 - 7.4,3.8.9,Backup Strategy,8,,,8,,,,"4.3
9.5 - 9.7","4.3
9.5 - 9.7","4.3
9.5 - 9.7","164.308(a)(7): Contingency Plan - Data Backup Plan R
164.308(a)(7): Contingency Plan - Disaster Recovery Plan R
164.308(a)(7): Contingency Plan - Testing and Revision Procedure A
164.310(d)(1): Device and Media Controls - Data Backup and Storage A",II.C.21,Encryption,Domain 3: Cybersecurity Controls - Preventative Controls,"APO13: Manage Security
DSS05: Manage Security Services",A 1.2,"7.2.2
8.2.1",9.3.6,,"8 - Systems Reliability, Availability, and Recoverability","3.3.6
3.3.8",CIP-009-6 R1,CIP-009-6 R1,CIP-009 -5 R1,"CIP-009-4 R4
CIP-009-4 R5","CIP-009-3 R4
CIP-009-3 R5",MOS-11,Disaster Recovery,,Information Security Management,Backups,,,,36
